FSM_fangwei(deg),FSM_fangwei(mrad),CCD_x,CCD_y,CCD_z,Dist_from_origin
0.0,0.0,0.0,0.0,-1.9895196601282805e-13,0.0
0.001,0.017453292519943295,0.0019649493117525315,0.0,-1.7147627318081504e-08,0.0019649493118273514
0.002,0.03490658503988659,0.003929898626497851,0.0,-6.858986978386383e-08,0.003929898627096409
0.003,0.05235987755982989,0.00589484794722875,0.0,-1.5432696898187714e-07,0.0058948479492488826
0.004,0.06981317007977318,0.007859797276938012,1.4210854715202004e-14,-2.743588822795573e-07,0.007859797281726475
0.005,0.08726646259971649,0.009824746618618433,0.0,-4.286856380986137e-07,0.0098247466279709
0.006,0.10471975511965978,0.0117896959752628,0.0,-6.173072364390464e-07,0.01178969599142386
0.007,0.12217304763960309,0.0137546453498639,0.0,-8.402236915117101e-07,0.013754645375527065
0.008,0.13962634015954636,0.015719594745414518,0.0,-1.0974349464731858e-06,0.015719594783722216
0.009,0.15707963267948966,0.01768454416490746,0.0,-1.3889410581668926e-06,0.01768454421945104
0.01,0.17453292519943298,0.0196494936113355,0.0,-1.7147420123819757e-06,0.019649493686155227
0.011,0.19198621771937624,0.021614443087691435,0.0,-2.074837809118435e-06,0.02161444318727649
0.012,0.20943951023931956,0.023579392596968056,0.0,-2.4692284625871253e-06,0.02357939272625655
0.013,0.22689280275926285,0.02554434214215814,-1.4210854715202004e-14,-2.897913944366337e-06,0.02554434230653709
0.014,0.24434609527920617,0.0275092917262545,1.4210854715202004e-14,-3.360894268666925e-06,0.027509291931559838
0.015,0.26179938779914946,0.02947424135224989,0.0,-3.858169463910599e-06,0.02947424160476648
