FSM_fuyang(deg),FSM_fuyang(mrad),CCD_x,CCD_y,CCD_z,Dist_from_origin
0.0,0.0,0.0,0.0,-1.9895196601282805e-13,0.0
0.001,0.017453292519943295,0.0,1.4210854715202004e-14,-0.002268928028726691,0.002268928028527739
0.002,0.03490658503988659,0.0,0.0,-0.004537856062754031,0.004537856062555079
0.003,0.05235987755982989,0.0,0.0,-0.0068067841078658375,0.006806784107666886
0.004,0.06981317007977318,0.0,0.0,-0.0090757121695475,0.009075712169348549
0.005,0.08726646259971649,0.0,0.0,-0.011344640253355465,0.011344640253156513
0.006,0.10471975511965978,0.0,0.0,-0.013613568364803541,0.013613568364604589
0.007,0.12217304763960309,0.0,0.0,-0.015882496509448174,0.015882496509249222
0.008,0.13962634015954636,0.0,0.0,-0.018151424692760543,0.01815142469256159
0.009,0.15707963267948966,0.0,1.4210854715202004e-14,-0.020420352920339724,0.020420352920140772
0.01,0.17453292519943298,0.0,0.0,-0.022689281197671107,0.022689281197472155
0.011,0.19198621771937624,0.0,1.4210854715202004e-14,-0.024958209530296926,0.024958209530097974
0.012,0.20943951023931956,0.0,0.0,-0.027227137923730993,0.02722713792353204
0.013,0.22689280275926285,0.0,1.4210854715202004e-14,-0.02949606638352975,0.0294960663833308
0.014,0.24434609527920617,0.0,1.4210854715202004e-14,-0.03176499491520701,0.03176499491500806
0.015,0.26179938779914946,0.0,0.0,-0.0340339235242908,0.03403392352409185
